"month","title","author","publisher","format","isbn_or_year"
"October 2013","The Garden of Evening Mists","Tan Twan Eng","Canongate Books","paperback","9781782110187"
"November 2013","Beyond The World Of Pooh: Selections from the memoirs of Christopher Milne","Christopher Milne","","",""
"November 2013","Tony Hart: A Portrait of My Dad","Carolyn Ross","","",""
"November 2013","Learning PHP, MySQL, JavaScript, and CSS: A Step-by-Step Guide to Creating Dynamic Websites","Robin Nixon","O'Reilly","",""
"November 2013","PHP, MySQL, JavaScript & HTML5 All-in-one For Dummies","Steven Suehring, Janet Valade","","",""
"November 2013","PHP & MySQL: The Missing Manual","Brett McLaughlin","O'Reilly","",""
"December 2013","A Dad for All Seasons: How My Sons Raised Me","Ian Mucklejohn","","",""
"December 2013","Build Your Own Website","Gary Marshall and Kyle MacRae","Haynes Manual","",""
"January 2014","Ubuntu Linux Secrets","Richard Blum","Wiley","",""
"January 2014","HTML5 & CSS3: Visual QuickStart Guide (Visual QuickStart Guides)","Elizabeth Castro and Bruce Hyslop","Peachpit Press","",""
"January 2014","Something Sensational To Read In The Train","Gyles Brandreth","","",""
"January 2014","Blogs, Wikis, Facebook and More","Terry Burrows","Carlton Books","",""
"January 2014","Build Your First Website in Simple Steps","Mr Joe Kraynak","Prentice Hall","",""
"March 2014","From a Clear Blue Sky (Surviving the Mountbatten Bomb)","Timothy Knatchbull","","",""
"March 2014","Broad View, Boundless Heart","Ajahn Pasanno and Ajahn Amaro","Amaravati Publications","paperback",""
"April 2014","Kamma and the End of Kamma","Ajahn Sucitto","Amaravati Publications","paperback",""
"April 2014","A Tree in a Forest","A Collection of Ajahn Chah's Similes","Yuan Kuang Publishing House","pdf",""
"April 2014","A Path For Parents","Sara Burns","Windhorse Publications","paperback",""
"May 2014","The Secret of Dead Man's Cove","R J McGregor","Puffin","paperback",""
"May 2014","The Coral Island (abridged)","R M Ballantyne","Puffin","paperback",""
"May 2014","The House in Norham Gardens","Penelope Lively","Piccolo","paperback",""
"May 2014","How To Age","Anne Karpf","Macmillan (The School of Life)","paperback",""
"June 2014","Comfortable With Uncertainty","Pema Chödrön","Shambhala Publications","paperback",""
"June 2014","Lord Of The Flies","William Golding","Faber","paperback",""
"June 2014","The Handmaid's Tale","Margaret Atwood","Virago Press","paperback",""
"July 2014","The Goldfinch","Donna Tartt","Abacus","paperback",""
"October 2014","The Road","Cormac McCarthy","Picador","paperback",""
"November 2014","Solaris","Stanislaw Lem","Faber and Faber","paperback",""
"January 2015","The Guest Cat","Takashi Hiraide","Picador","paperback","9781447279402"
"January 2015","Poespas","S Carmiggelt","De Arbeiderspers","hardback","1952"
"February 2015","The Real Heroes of Telemark","Ray Mears","Coronet Books","paperback","9780340830161"
"March 2015","Skis Against The Atom","Knut Haukelid","North American Heritage Press","paperback","0942323076"
"April 2015","Steve Jobs","Walter Isaacson","Abacus","paperback","9780349140438"
"May 2015","Zet je hart uit je hoofd","Toon Hermans","Fontein","paperback","9026102658"
"May 2015","The Hollow Hills","Mary Stewart","Book Club Associates","hardback","1974"
"June 2015","The Pragmatic Programmer: From Journeyman to Master","Andrew Hunt and David Thomas","Addison-Wesley","epub","020161622X"
"June 2015","Slow Road to Brownsville: A Journey Through the Heart of the Old West","David Reynolds","Greystone Books","paperback","9781771640497"
"June 2015","After Me Comes the Flood","Sarah Perry","Serpent's Tail","epub","9781846689468"
"July 2015","The Interestings","Meg Wolitzer","Riverhead Books","epub","9781101602034"
"August 2015","Starter For Ten","David Nicholls","Hodder and Stoughton","paperback","9780340734872"
"August 2015","Light from the East, How the Science of Medieval Islam Helped to Shape the Western World","John Freely","I.B.Tauris","hardback","9781848854529"
"August 2015","The life-changing magic of tidying up","Marie Kondo","Ten Speed Press","epub","9781607747314"
"August 2015","Death in Holy Orders","P. D. James","BCA","hardback","2001"
"September 2015","17 Equations That Changed The World","Ian Stewart","Profile Books","paperback","9781846685323"
"September 2015","Fermat's Last Theorem","Simon Singh","Harper Perennial","paperback","9780007790227"
"September 2015","The Daydreamer","Ian McEwan","Vintage","paperback","9780099590613"
"September 2015","Blanket Boy's Moon","Peter Lanham and A.S.Mopeli-Paulus","Fontana Books","paperback","1956"
"October 2015","The Line of Beauty","Alan Hollinghurst","Pan Macmillan","mobi","9781447275190"
"October 2015","Stardust","Neil Gaiman","Headline Publishing Group","epub","9780755380022"
"October 2015","The Highway","C J Box","Head of Zeus","epub","9781781852705"
"October 2015","The Narrow Road to the Deep North","Richard Flanagan","Chatto & Windus","mobi","9781448192243"
"November 2015","Unbroken: A World War II Story of Survival","Laura Hillenbrand","Random House","epub","9780679603757"
"November 2015","Beyond Anger","Various","Shambhala Publications","mobi","9780834829541"
"December 2015","The Other Boleyn Girl","Philippa Gregory","HarperCollinsPublishers","mobi","9780007370146"
"December 2015","Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","Crown Publishers","epub","9780307452207"
"January 2016","Taking the Leap: Freeing Ourselves From Old Habits and Fears","Pema Chödrön","Shambala Publications","epub","9780834821019"
"January 2016","Buddha in Blue Jeans: An Extremely Short Simple Zen Guide to Sitting Quietly and Being Buddha","Tai Sheridan","Tai Sheridan","mobi",""
"January 2016","A Girl Is A Half-formed Thing","Eimear McBride","Galley Beggar Press Limited","epub","9780957185326"
"January 2016","The Loney","Andrew Michael Hurley","Tartarus Press","epub","9781473619845"
"January 2016","The Old Ways: A Journey On Foot","Robert Macfarlane","Penguin","epub","9780241145531"
"February 2016","The Gift of Rain","Tan Twan Eng","Myrmidon","paperback","9781905802142"
"February 2016","The Wild Places","Robert Macfarlane","Penguin","epub","9780143113935"
"February 2016","Mountains of the Mind: Adventures in Reaching the Summit","Robert Macfarlane","Vintage Book","epub","9780307538635"
"February 2016","Atonement","Ian McEwan","N.A. Talese/Doubleday","epub","9780965404563"
"March 2016","The Girl on the Train","Paula Hawkins","Riverhead Books","epub","9780698185395"
"March 2016","Gone Girl","Gillian Flynn","Weidenfeld & Nicolson","epub","9780297859406"
"March 2016","A Street Cat Named Bob","James Bowen","Hodder & Stoughton","epub","9781444737134"
"March 2016","All The Light We Cannot See","Anthony Doerr","Scribner","epub","9781476746609"
"March 2016","How To Be Both","Ali Smith","Penguin","mobi","9780241965610"
"April 2016","The Fishermen","Chigozie Obioma","Little, Brown and Company","epub","9780316338363"
"April 2016","The Girl in the Red Coat","Kate Hamer","Faber and Faber Ltd","epub","9780571313259"
"April 2016","Safe House","Chris Ewan","Faber and Faber Ltd","mobi","9780571282227"
"April 2016","The World According to Bob","James Bowen","Hodder & Stoughton","epub",""
"April 2016","The Story of the Amulet","E. Nesbit","Puffin Books","paperback","0140301305"
"April 2016","High-Rise","J. G. Ballard","unknown","epub",""
"April 2016","The Wasp Factory","Iain Banks","Hachette Digital","epub","9780748109951"
"April 2016","What I Talk About When I Talk About Running","Haruki Murakami","Alfred A. Knopf","epub","9780307269478"
"May 2016","The Swimming-Pool Library","Alan Hollinghurst","Vintage International","epub","9780307806604"
"May 2016","Hitching Rides With Buddha","Will Ferguson","Vintage Canada","epub","9780307369079"
"May 2016","The Art of Stillness","Pico Iyer","TED Books","epub","9781476784731"
"May 2016","The Stranger's Child","Alan Hollinghurst","Picador","epub","9781447203988"
"May 2016","The People in the Trees","Hanya Yanagihara","Atlantic Books","epub","9780857898968"
"June 2016","A Little Life","Hanya Yanagihara","Doubleday","epub","9780385539265"
"July 2016","Norwegian Wood","Haruki Murakami","Vintage International","epub",""
"July 2016","Follow You Home","Mark Edwards","Thomas & Mercer","azw3","9781503944374"
"July 2016","Knots & Crosses","Ian Rankin","Orion Books","epub","9781409107712"
"August 2016","The House at the Edge of the World","Julia Rochester","Penguin","epub","9780241971703"
"August 2016","The Essex Serpent","Sarah Perry","Serpent's Tail","epub","9781782832041"
"August 2016","Dune","Frank Herbert","Ace Books","epub",""
"September 2016","Six Four","Hideo Yokoyama","Quercus","epub","9781784299842"
"September 2016","The River at the Centre of the World","Simon Winchester","Penguin","paperback","0140249125"
"September 2016","Longitude","Dava Sobel","Fourth Estate","hardback","1857025024"
"September 2016","Anna of the Five Towns","Arnold Bennett","Wordsworth Classics","paperback","1853262242"
"October 2016","Samuel Pepys The Unequalled Self","Claire Tomalin","Penguin","paperback","0140282343"
"October 2016","The Vegetarian","Han Kang","Hogarth","epub","9780553448191"
"October 2016","Schindler's Ark","Thomas Keneally","Sceptre","paperback","0340335017"
"January 2017","Spectacles","Sue Perkins","Penguin","paperback","9781405918558"
"February 2017","The Camomile Lawn","Mary Wesley","Black Swan","paperback","0552991260"
"February 2017","Us","David Nicholas","Hodder","paperback","9780340897010"
"February 2017","The Understudy","David Nicholas","Hodder","paperback","9780340935217"
"February 2017","Harvest","Jim Crace","Picador","paperback","9780330445672"
"February 2017","Writing Home","Alan Bennett","Faber and Faber","paperback","9780571191543"
"February 2017","The Pick, The Spade and The Crow","Bill Rogers","Thomas & Mercer","epub","9781503938304"
"February 2017","The Sopranos","Alan Warner","Vintage Books","paperback","9780099268741"
"February 2017","The Stars In The Bright Sky","Alan Warner","Vintage Books","paperback","9780099461821"
"February 2017","Untold Stories","Alan Bennett","Faber and Faber","paperback","9780571228313"
"February 2017","Zen and Now: On the Trail of Robert Pirsig and the Art of Motorcycle Maintenance","Mark Richardson","Vintage Books","paperback","9780307390691"
"February 2017","A Blaze of Autumn Sunshine","Tony Benn","Hutchinson","hardback","9780091943875"
"February 2017","Hiroshima","John Hersey","Penguin","paperback","9780141184371"
"February 2017","The Wisdom House","Rob Parsons","Hodder & Stoughton","hardback","9781444745665"
"February 2017","Left To Their Own Devices?","Katharine Hill","Muddy Pearl","paperback","9781910012437"
"February 2017","Guidebook to Zen and the Art of Motorcycle Maintenance","Ron DiSanto and Tom Steele","William Morrow","paperback","9780688060695"
"February 2017","Functional Programming: A PragPub Anthology","Michael Swaine & the PragPub writers","The Pragmatic Bookshelf","epub","9781680502336"
"February 2017","Sons and Lovers","D H Lawrence","Penguin","paperback","0140431543"
"February 2017","Seeing Things","Oliver Postgate","Canongate","paperback","9781847678416"
"February 2017","Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement","Luc Perkins with Eric Redmond and Jim R. Wilson","The Pragmatic Bookshelf","epub","9781680502534"
"February 2017","The Penguin Complete Short Stories of Franz Kafka","Franz Kafka","Penguin","paperback","0140090088"
"February 2017","The Sparsholt Affair","Alan Hollinghurst","Picador","epub","9781447211457"
"February 2017","A Common-Sense Guide to Data Structures and Algorithms","Jay Wengrow","The Pragmatic Bookshelf","epub","9781680502442"
"January 2018","Practical Vim (Second Edition)","Drew Neil","The Pragmatic Bookshelf","paperback","9781680501278"
"February 2018","Practical Vim (Second Edition)","Drew Neil","The Pragmatic Bookshelf","paperback","9781680501278"
"March 2018","Sophie's World","Jostein Gaarder","Weidenfeld & Nicolson","paperback","9781474602280"
"March 2018","Practical Vim (Second Edition)","Drew Neil","The Pragmatic Bookshelf","paperback","9781680501278"
"April 2018","Bedtime Stories for Grown-Ups","Ben Holden","Simon & Schuster","hardback","9781471153754"
"May 2018","Keeping On Keeping On","Alan Bennett","Faber and Faber; Profile Books","paperback","9781781256503"
"May 2018","Land Below The Wind","Agnes Newton Keith","Natural History Publications (Borneo) Sdn. Bhd.","paperback","9838120448"
"June 2018","Men Without Women","Haruki Murakami","Alfred A. Knopf","epub","9780451494634"
"June 2018","History of Wolves","Emily Fridlund","Atlantic Monthly Press","epub","9780802189776"
"June 2018","The Omega Factor","Jack Gerson","BBC","paperback","9780563177535"
"July 2018","The Deep Range","Arthur C. Clarke","Pan","paperback","0330025708"
"July 2018","Childhood's End","Arthur C. Clarke","Pan","paperback","0330105736"
"July 2018","The Accidental","Ali Smith","Penguin","paperback","9780141010397"
"July 2018","Elmet","Fiona Mozley","John Murray Originals","paperback","9781473660540"
"July 2018","Java by Comparison","Simon Harrer, Jorg Lenhard, Linus Dietz","The Pragmatic Bookshelf","epub","9781680502879"
"August 2018","Kilvert's Diary","William Plomer","Penguin","paperback","014004762"
"August 2018","The Beach","Alex Garland","Penguin","paperback","0140258418"
"August 2018","Jack Maggs","Peter Carey","Faber and Faber","paperback","0571193773"
"September 2018","Red Sky at Sunrise","Laurie Lee","Penguin","paperback","9780241953273"
"September 2018","I Can't Stay Long","Laurie Lee","Penguin","paperback","9780241237175"
"September 2018","Village Christmas","Laurie Lee","Penguin","paperback","9780241243671"
"September 2018","12 Months of Dharma","Tricycle Teachings","Tricycle","epub",""
"October 2018","A Monk's Guide to a Clean House and Mind","Shoukei Matsumoto","Penguin","paperback","9781846149696"
"October 2018","Life With Full Attention","Maitreyabandhu","Windhorse Publications","paperback","9781899579983"
"November 2018","Seeing The Way Volume 2","An Anthology of teachings by English-speaking disciples of Ajahn Chah","Amaravati Publications","epub","9780956811332"
"January 2019","Devil's Day","Andrew Michael Hurley","John Murray","epub","9781473619890"
"January 2019","The Bedside Guardian 2018","Lisa Allardice","Guardian Books","hardback","9781527229792"
"February 2019","You, Me and Coffee","Dianne Parsons","Lion Hudson Limited","hardback","9780745980577"
"February 2019","Modern Vim","Drew Neil","The Pragmatic Bookshelf","paperback","9781680502626"
"March 2019","The Mindfulness Sampler","Various","Shambhala","epub","9780834829619"
"March 2019","Tricycle Teachings: Love & Relationships","Various","Tricycle","epub",""
"March 2019","The Flame","Leonard Cohen","Canongate","hardback","9781786893130"
"March 2019","Barn Burning","Haruki Murakami","unknown","pdf",""
"March 2019","Birthday Girl","Haruki Murakami","unkown","pdf",""
"April 2019","Bring Up The Bodies","Hilary Mantel","Fourth Estate","paperback","9780007315109"
"May 2019","Wolf Hall","Hilary Mantel","Fourth Estate","paperback","9780007230204"
"June 2019","Shardik","Richard Adams","Penguin","paperback","0140040994"
"June 2019","The Vorrh","Brian Catling","Honest Publishing","epub","9780957142718"
"July 2019","If You Forget Everything Else Remember This","Katherine Hill","Muddy Pearl","hardback","9781910012543"
"July 2019","Melmoth","Sarah Perry","Serpents Tail","epub","9781782834557"
"July 2019","Killing Commendatore","Haruki Murakami","Alfred A. Knopf","epub","9780525520054"
"August 2019","The Korean War","Max Hastings","Michael Joseph","hardback","9780718120689"
"August 2019","The Cut Out Girl","Bart van Es","Penguin","paperback","9780241978726"
"August 2019","Small, Sharp, Software Tools: Harness the Combinatoric Power of Command-Line Tools and Utilities","Brian Hogan","The Pragmatic Bookshelf","epub","9781680502961"
"October 2019","Vietnam: An Epic Tragedy, 1945-75","Max Hastings","William Collins","hardback","9780008132989"
"October 2019","Pieces of a Girl","Charlotte Wood","Picador","paperback","9780330361699"
"November 2019","This Being, That Becomes","Dhivan Thomas","Windhorse Publications","paperback","9781899579907"
